profile,ip,username,password,image,activation,server
AP-9120-01,192.168.100.30,admin,password,package_benja_v_1_8_7.tar,activation.json,192.168.100.45
AP-9120-02,192.168.100.31,admin,password,package_benja_v_1_8_7.tar,activation.json,192.168.100.45
AP-9120-03,192.168.100.32,admin,password,package_benja_v_1_8_7.tar,activation.json,192.168.100.45
AP-9120-04,192.168.100.33,admin,password,package_benja_v_1_8_7.tar,activation.json,192.168.100.45
AP-9120-05,192.168.100.34,admin,password,package_benja_v_1_8_7.tar,activation.json,192.168.100.45
AP-9120-06,192.168.100.35,admin,password,package_benja_v_1_8_7.tar,activation.json,192.168.100.45
AP-9120-07,192.168.100.36,admin,password,package_benja_v_1_8_7.tar,activation.json,192.168.100.45
AP-9120-08,192.168.100.37,admin,password,package_benja_v_1_8_7.tar,activation.json,192.168.100.45
AP-9120-09,192.168.100.38,admin,password,package_benja_v_1_8_7.tar,activation.json,192.168.100.45
AP-9120-10,192.168.100.39,admin,password,package_benja_v_1_8_7.tar,activation.json,192.168.100.45
AP-9120-11,192.168.100.40,admin,password,package_benja_v_1_8_7.tar,activation.json,192.168.100.45
AP-9120-12,192.168.100.41,admin,password,package_benja_v_1_8_7.tar,activation.json,192.168.100.45
AP-9120-13,192.168.100.42,admin,password,package_benja_v_1_8_7.tar,activation.json,192.168.100.45
AP-9120-14,192.168.100.43,admin,password,package_benja_v_1_8_7.tar,activation.json,192.168.100.45
